PIP region,year,"Prosperity Gap, z=25/day","Prosperity Gap regional contribution to global, z=25/day","Inequality, z=ybar","Mean, $/day"
LAC,1997,7.173374176025391,.6005213260650635,3.399441242218018,11.84742736816406
LAC,1998,6.921658992767334,.5803468823432922,3.34931206703186,12.09721565246582
LAC,1999,7.003504276275635,.5880829691886902,3.294129371643066,11.75886154174805
LAC,2000,6.686708450317383,.5622028708457947,3.300495862960815,12.33976268768311
LAC,2001,6.546040534973145,.5508975982666016,3.244997501373291,12.39297866821289
LAC,2002,6.255465030670166,.5267888903617859,3.03956151008606,12.14762401580811
LAC,2003,6.185985088348389,.5211088061332703,3.027352333068848,12.23472213745117
LAC,2004,5.852471828460693,.493053674697876,2.937076807022095,12.54630851745605
LAC,2005,5.655552387237549,.4764148592948914,2.986051797866821,13.19964694976807
LAC,2006,5.080741405487061,.4277973473072052,2.889716625213623,14.21897125244141
LAC,2007,4.927997589111328,.4146331250667572,2.908904314041138,14.75702953338623
LAC,2008,4.716019153594971,.3963599801063538,2.86248254776001,15.17425155639648
LAC,2009,4.608999729156494,.3868886828422546,2.803089141845703,15.20443344116211
LAC,2010,4.405783176422119,.3692456185817719,2.767782688140869,15.70539569854736
LAC,2011,4.229629039764404,.3542614579200745,2.762166500091553,16.32629203796387
LAC,2012,3.884492874145508,.3249918520450592,2.643166542053223,17.01101493835449
LAC,2013,3.713451147079468,.3102452456951141,2.588762760162354,17.42828178405762
LAC,2014,3.627426385879517,.3026021718978882,2.531034708023071,17.44373512268066
LAC,2015,3.5456383228302,.2953535914421082,2.51219916343689,17.71330642700195
LAC,2016,3.592299222946167,.2988077402114868,2.569945573806763,17.88510322570801
LAC,2017,3.551092386245728,.2949318587779999,2.566819667816162,18.07063484191895
LAC,2018,3.50846791267395,.2909418642520905,2.565801620483398,18.28292083740234
LAC,2019,3.512715339660645,.290819376707077,2.569939613342285,18.29026412963867
MNA,1990,5.430855274200439,.2366404682397842,1.612010717391968,7.420611381530762
MNA,1991,5.662791728973389,.2494861036539078,1.635239958763123,7.219230651855469
MNA,1992,5.436225891113281,.2416092753410339,1.627462029457092,7.48433780670166
MNA,1993,5.310083866119385,.2374573200941086,1.62266206741333,7.639531135559082
MNA,1994,5.295474052429199,.2381143867969513,1.610111355781555,7.601356029510498
MNA,1995,5.387491226196289,.2437760531902313,1.601844191551208,7.433163642883301
MNA,1996,5.283586025238037,.2404205203056335,1.59604024887085,7.5518798828125
MNA,1997,5.161660671234131,.2362052351236343,1.603155732154846,7.764728546142578
MNA,1998,4.935238361358643,.2271457314491272,1.616142153739929,8.186748504638672
MNA,1999,4.818811416625977,.2230994254350662,1.621130108833313,8.410425186157227
MNA,2000,4.658843994140625,.217039942741394,1.639351844787598,8.796988487243652
MNA,2001,4.645601749420166,.2178063541650772,1.661867380142212,8.943229675292969
MNA,2002,4.572990417480469,.2154633849859238,1.678650617599487,9.176985740661621
MNA,2003,4.691649913787842,.2221448123455048,1.679963350296021,8.951879501342773
MNA,2004,4.462900161743164,.212708979845047,1.710570335388184,9.582167625427246
MNA,2005,4.34932804107666,.2087240219116211,1.730987548828125,9.949741363525391
MNA,2006,4.327900409698486,.2090818732976913,1.74198842048645,10.06254959106445
MNA,2007,4.237689018249512,.2060760855674744,1.76514995098114,10.4133996963501
MNA,2008,4.171106815338135,.2041760683059692,1.742534637451172,10.44407749176025
MNA,2009,4.100949287414551,.2021173536777496,1.717736721038818,10.47158050537109
MNA,2010,3.949415922164917,.1961637586355209,1.688114285469055,10.68584728240967
MNA,2011,3.895543813705444,.1949303299188614,1.69114077091217,10.85304641723633
MNA,2012,3.889504432678223,.1959462314844131,1.662714838981628,10.68718910217285
MNA,2013,3.948022127151489,.200481191277504,1.65087366104126,10.45380210876465
MNA,2014,4.012766361236572,.205500528216362,1.669004797935486,10.39809417724609
MNA,2015,4.40007495880127,.2271726727485657,1.821363806724548,10.34848213195801
MNA,2016,4.506975650787354,.2342787981033325,1.890252351760864,10.48514842987061
MNA,2017,4.893692016601563,.2558163106441498,2.053686618804932,10.49149894714355
MNA,2018,5.433675765991211,.285787969827652,2.244559526443481,10.32707691192627
MNA,2019,5.195300579071045,.2750154435634613,2.099460601806641,10.10269165039063
OHI,1990,1.062680721282959,.1811085492372513,1.863584637641907,43.84159088134766
OHI,1991,1.058929562568665,.1790880113840103,1.870750308036804,44.16607284545898
OHI,1992,1.066997170448303,.1792145222425461,1.897829413414001,44.46659851074219
OHI,1993,1.103940486907959,.1840767711400986,1.975217580795288,44.73107147216797
OHI,1994,1.087792634963989,.1800170093774796,1.978729605674744,45.47579956054688
OHI,1995,1.07105016708374,.1759234219789505,1.979368090629578,46.20157241821289
OHI,1996,1.050965785980225,.171391561627388,1.946487665176392,46.3023567199707
OHI,1997,1.034955501556396,.1675822585821152,1.957535624504089,47.28549957275391
OHI,1998,1.036577820777893,.1666660457849503,2.008543491363525,48.44169998168945
OHI,1999,.9815613031387329,.1567496210336685,1.953183889389038,49.74686431884766
